ID;requestNo;title;department;status;requestDate;quantity;unitPrice;remark;createdAt;modifiedAt
aaaaaaaa-0000-4000-8000-000000000001;PR-2026-0001;Notebook PC #001;IT;REJECTED;2026-06-16;1;980.50;Notebook PC for IT team;2026-01-01T00:00:01Z;2026-01-01T00:00:01Z
aaaaaaaa-0000-4000-8000-000000000002;PR-2026-0002;Office Chair #002;HR;APPROVED;2026-06-19;8;75000.00;Office Chair for HR team;2026-01-01T00:00:02Z;2026-01-01T00:00:02Z
aaaaaaaa-0000-4000-8000-000000000003;PR-2026-0003;Steel Plate #003;Manufacturing;SUBMITTED;2026-06-22;50;8900.00;Steel Plate for Manufacturing team;2026-01-01T00:00:03Z;2026-01-01T00:00:03Z
aaaaaaaa-0000-4000-8000-000000000004;PR-2026-0004;Packing Tape #004;Logistics;DRAFT;2026-06-25;5;120.00;Packing Tape for Logistics team;2026-01-01T00:00:04Z;2026-01-01T00:00:04Z
aaaaaaaa-0000-4000-8000-000000000005;PR-2026-0005;Business Card Print #005;Sales;SUBMITTED;2026-06-28;20;1500.00;Business Card Print for Sales team;2026-01-01T00:00:05Z;2026-01-01T00:00:05Z
aaaaaaaa-0000-4000-8000-000000000006;PR-2026-0006;Monitor 27inch #006;IT;APPROVED;2026-07-01;100;132000.00;Monitor 27inch for IT team;2026-01-01T00:00:06Z;2026-01-01T00:00:06Z
aaaaaaaa-0000-4000-8000-000000000007;PR-2026-0007;Safety Gloves #007;Manufacturing;SUBMITTED;2026-07-04;50;24500.00;Safety Gloves for Manufacturing team;2026-01-01T00:00:07Z;2026-01-01T00:00:07Z
aaaaaaaa-0000-4000-8000-000000000008;PR-2026-0008;Forklift Battery #008;Logistics;DRAFT;2026-07-07;3;1500.00;Forklift Battery for Logistics team;2026-01-01T00:00:08Z;2026-01-01T00:00:08Z
aaaaaaaa-0000-4000-8000-000000000009;PR-2026-0009;Training Textbook #009;HR;REJECTED;2026-07-10;50;3200.75;Training Textbook for HR team;2026-01-01T00:00:09Z;2026-01-01T00:00:09Z
aaaaaaaa-0000-4000-8000-000000000010;PR-2026-0010;Demo Sample Kit #010;Sales;SUBMITTED;2026-07-13;1;8900.00;Demo Sample Kit for Sales team;2026-01-01T00:00:00Z;2026-01-01T00:00:00Z
aaaaaaaa-0000-4000-8000-000000000011;PR-2026-0011;Notebook PC #011;IT;SUBMITTED;2026-07-16;8;1500.00;Notebook PC for IT team;2026-01-01T00:00:01Z;2026-01-01T00:00:01Z
aaaaaaaa-0000-4000-8000-000000000012;PR-2026-0012;Office Chair #012;HR;DRAFT;2026-07-19;20;1500.00;Office Chair for HR team;2026-01-01T00:00:02Z;2026-01-01T00:00:02Z
aaaaaaaa-0000-4000-8000-000000000013;PR-2026-0013;Steel Plate #013;Manufacturing;REJECTED;2026-07-22;20;980.50;Steel Plate for Manufacturing team;2026-01-01T00:00:03Z;2026-01-01T00:00:03Z
aaaaaaaa-0000-4000-8000-000000000014;PR-2026-0014;Packing Tape #014;Logistics;APPROVED;2026-07-25;20;3200.75;Packing Tape for Logistics team;2026-01-01T00:00:04Z;2026-01-01T00:00:04Z
aaaaaaaa-0000-4000-8000-000000000015;PR-2026-0015;Business Card Print #015;Sales;SUBMITTED;2026-07-28;10;132000.00;Business Card Print for Sales team;2026-01-01T00:00:05Z;2026-01-01T00:00:05Z
aaaaaaaa-0000-4000-8000-000000000016;PR-2026-0016;Monitor 27inch #016;IT;DRAFT;2026-07-31;12;1500.00;Monitor 27inch for IT team;2026-01-01T00:00:06Z;2026-01-01T00:00:06Z
aaaaaaaa-0000-4000-8000-000000000017;PR-2026-0017;Safety Gloves #017;Manufacturing;REJECTED;2026-08-03;100;24500.00;Safety Gloves for Manufacturing team;2026-01-01T00:00:07Z;2026-01-01T00:00:07Z
aaaaaaaa-0000-4000-8000-000000000018;PR-2026-0018;Forklift Battery #018;Logistics;APPROVED;2026-08-06;10;1500.00;Forklift Battery for Logistics team;2026-01-01T00:00:08Z;2026-01-01T00:00:08Z
aaaaaaaa-0000-4000-8000-000000000019;PR-2026-0019;Training Textbook #019;HR;SUBMITTED;2026-08-09;8;980.50;Training Textbook for HR team;2026-01-01T00:00:09Z;2026-01-01T00:00:09Z
aaaaaaaa-0000-4000-8000-000000000020;PR-2026-0020;Demo Sample Kit #020;Sales;SUBMITTED;2026-08-12;25;120.00;Demo Sample Kit for Sales team;2026-01-01T00:00:00Z;2026-01-01T00:00:00Z
aaaaaaaa-0000-4000-8000-000000000021;PR-2026-0021;Notebook PC #021;IT;REJECTED;2026-08-15;100;120.00;Notebook PC for IT team;2026-01-01T00:00:01Z;2026-01-01T00:00:01Z
aaaaaaaa-0000-4000-8000-000000000022;PR-2026-0022;Office Chair #022;HR;APPROVED;2026-08-18;3;24500.00;Office Chair for HR team;2026-01-01T00:00:02Z;2026-01-01T00:00:02Z
aaaaaaaa-0000-4000-8000-000000000023;PR-2026-0023;Steel Plate #023;Manufacturing;SUBMITTED;2026-08-21;20;980.50;Steel Plate for Manufacturing team;2026-01-01T00:00:03Z;2026-01-01T00:00:03Z
aaaaaaaa-0000-4000-8000-000000000024;PR-2026-0024;Packing Tape #024;Logistics;DRAFT;2026-08-24;10;132000.00;Packing Tape for Logistics team;2026-01-01T00:00:04Z;2026-01-01T00:00:04Z
aaaaaaaa-0000-4000-8000-000000000025;PR-2026-0025;Business Card Print #025;Sales;SUBMITTED;2026-08-27;100;24500.00;Business Card Print for Sales team;2026-01-01T00:00:05Z;2026-01-01T00:00:05Z
aaaaaaaa-0000-4000-8000-000000000026;PR-2026-0026;Monitor 27inch #026;IT;APPROVED;2026-08-30;10;3200.75;Monitor 27inch for IT team;2026-01-01T00:00:06Z;2026-01-01T00:00:06Z
aaaaaaaa-0000-4000-8000-000000000027;PR-2026-0027;Safety Gloves #027;Manufacturing;SUBMITTED;2026-09-02;10;24500.00;Safety Gloves for Manufacturing team;2026-01-01T00:00:07Z;2026-01-01T00:00:07Z
aaaaaaaa-0000-4000-8000-000000000028;PR-2026-0028;Forklift Battery #028;Logistics;DRAFT;2026-09-05;10;75000.00;Forklift Battery for Logistics team;2026-01-01T00:00:08Z;2026-01-01T00:00:08Z
aaaaaaaa-0000-4000-8000-000000000029;PR-2026-0029;Training Textbook #029;HR;REJECTED;2026-09-08;2;8900.00;Training Textbook for HR team;2026-01-01T00:00:09Z;2026-01-01T00:00:09Z
aaaaaaaa-0000-4000-8000-000000000030;PR-2026-0030;Demo Sample Kit #030;Sales;SUBMITTED;2026-09-11;100;980.50;Demo Sample Kit for Sales team;2026-01-01T00:00:00Z;2026-01-01T00:00:00Z
aaaaaaaa-0000-4000-8000-000000000031;PR-2026-0031;Notebook PC #031;IT;SUBMITTED;2026-09-14;12;75000.00;Notebook PC for IT team;2026-01-01T00:00:01Z;2026-01-01T00:00:01Z
aaaaaaaa-0000-4000-8000-000000000032;PR-2026-0032;Office Chair #032;HR;DRAFT;2026-09-17;10;3200.75;Office Chair for HR team;2026-01-01T00:00:02Z;2026-01-01T00:00:02Z
aaaaaaaa-0000-4000-8000-000000000033;PR-2026-0033;Steel Plate #033;Manufacturing;REJECTED;2026-09-20;25;24500.00;Steel Plate for Manufacturing team;2026-01-01T00:00:03Z;2026-01-01T00:00:03Z
aaaaaaaa-0000-4000-8000-000000000034;PR-2026-0034;Packing Tape #034;Logistics;APPROVED;2026-09-23;8;75000.00;Packing Tape for Logistics team;2026-01-01T00:00:04Z;2026-01-01T00:00:04Z
aaaaaaaa-0000-4000-8000-000000000035;PR-2026-0035;Business Card Print #035;Sales;SUBMITTED;2026-09-26;8;24500.00;Business Card Print for Sales team;2026-01-01T00:00:05Z;2026-01-01T00:00:05Z
aaaaaaaa-0000-4000-8000-000000000036;PR-2026-0036;Monitor 27inch #036;IT;DRAFT;2026-09-29;8;1500.00;Monitor 27inch for IT team;2026-01-01T00:00:06Z;2026-01-01T00:00:06Z
